1312	21
1317	86, 95
1339	40, 43
1351	90
1353	98
1360	81, 87, 93
1379	6, 23
1395	65
1438	53, 68, 85
1481	16
1484	14, 79
1493	8, 78
1546	39
1547	49
3	71
23	22
52	91
53	52
125	80
148	38
171	11
174	34
178	4, 44, 58, 61
254	13
268	6
287	68
288	15, 55
289	77
298	50
315	35
317	40, 87
333	19, 25, 42, 45, 47
335	31
341	20
346	12
362	2
370	48
383	5
396	0, 7, 33
428	60
455	57
458	3
475	18, 59
540	98
544	37
587	9, 64
596	94
715	66
724	84
739	75
896	72
897	96
900	92
949	56
970	83
1008	76
1009	62
1025	88
1026	70
1049	74
1066	14, 79
1075	39
1123	28, 30, 36
1169	1
1177	32, 97
1182	89
1186	63
1215	46
1216	10, 82
1226	29
1242	24, 27
1248	73
1279	99
1287	26
1308	41
1309	17
1316	86, 95
1330	54
1335	21
1338	51
1349	90
1355	69
1359	43, 67, 81
1378	23, 93
1412	65
1440	53, 85
1480	16
1513	78
1524	8
1548	49
17	19, 25, 42, 45, 47
18	48
39	92
46	32, 97
78	0, 33
115	18
119	57
135	70
180	98
198	37
223	64, 74
243	56
280	94
394	66
395	34
401	84
426	16
427	22
529	20
534	54
537	72
602	78
604	24
626	83
635	91
641	60, 62
642	76
663	5
690	9, 88
695	79
739	39
777	11
778	28, 30
784	80
785	36
812	26
832	89
852	1
854	27
861	29
872	63
874	10, 77, 82
893	46
905	99
924	21, 73
975	15, 41, 55
977	17
989	50
997	86, 95
1002	69
1027	51
1041	12
1042	59, 90
1050	2, 43, 67, 81
1060	6, 23, 85
1061	31
1072	3
1101	14
1105	7, 65
1147	53, 68
1153	75
1221	8
1255	71
1256	49
1270	52
1314	96
1356	38
1372	44, 61
1422	4, 58
1466	13
1509	93
1524	87
1525	40
1541	35
10	12
20	31
28	19, 25, 42, 45, 47
38	29
54	48, 63
82	0, 33
99	62
